Category,Hand,2,3,4,5,6,7,8,9,10,A
Pair Splitting,"A,A",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Pair Splitting,"T,T",N,N,N,N,N,N,N,N,N,N
Pair Splitting,"9,9",Y,Y,Y,Y,N,Y,Y,N,N,N
Pair Splitting,"8,8",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Pair Splitting,"7,7",Y,Y,Y,Y,Y,Y,N,N,N,N
Pair Splitting,"6,6",Y/N,Y,Y,Y,Y,N,N,N,N,N
Pair Splitting,"5,5",N,N,N,N,N,N,N,N,N,N
Pair Splitting,"4,4",N,N,N,Y/N,Y/N,N,N,N,N,N
Pair Splitting,"3,3",Y/N,Y/N,Y,Y,Y,Y,N,N,N,N
Pair Splitting,"2,2",Y/N,Y/N,Y,Y,Y,Y,N,N,N,N
Soft Totals,"A,10",S,S,S,S,S,S,S,S,S,S
Soft Totals,"A,9",S,S,S,S,S,S,S,S,S,S
Soft Totals,"A,8",S,S,S,S,S,S,S,S,S,S
Soft Totals,"A,7",S,Ds,Ds,Ds,Ds,S,S,H,H,H
Soft Totals,"A,6",H,D,D,D,D,H,H,H,H,H
Soft Totals,"A,5",H,H,D,D,D,H,H,H,H,H
Soft Totals,"A,4",H,H,D,D,D,H,H,H,H,H
Soft Totals,"A,3",H,H,H,D,D,H,H,H,H,H
Soft Totals,"A,2",H,H,H,D,D,H,H,H,H,H
Hard Totals,21,S,S,S,S,S,S,S,S,S,S
Hard Totals,20,S,S,S,S,S,S,S,S,S,S
Hard Totals,19,S,S,S,S,S,S,S,S,S,S
Hard Totals,18,S,S,S,S,S,S,S,S,S,S
Hard Totals,17,S,S,S,S,S,S,S,S,S,S
Hard Totals,16,S,S,S,S,S,H,H,H,H,H
Hard Totals,15,S,S,S,S,S,H,H,H,H,H
Hard Totals,14,S,S,S,S,S,H,H,H,H,H
Hard Totals,13,S,S,S,S,S,H,H,H,H,H
Hard Totals,12,H,H,S,S,S,H,H,H,H,H
Hard Totals,11,D,D,D,D,D,D,D,D,D,H
Hard Totals,10,D,D,D,D,D,D,D,D,H,H
Hard Totals,9,H,D,D,D,D,H,H,H,H,H
Hard Totals,8,H,H,H,H,H,H,H,H,H,H
Hard Totals,7,H,H,H,H,H,H,H,H,H,H
Hard Totals,6,H,H,H,H,H,H,H,H,H,H
Hard Totals,5,H,H,H,H,H,H,H,H,H,H
Hard Totals,4,H,H,H,H,H,H,H,H,H,H
Hard Totals,3,H,H,H,H,H,H,H,H,H,H
